date,time,Open,High,Low,Close,7079,ema4,ema8,ema16,rsi
2008.11.04,20:00:00,160.31,161.02,158.54,159.1,6162,158.65781814163458,158.1906297345505,158.275,55.97842091386593
2008.11.05,00:00:00,159.05,159.5,157.6,158.34,5192,158.53069088498074,158.22382312687262,158.28264705882353,37.19313716031176
2008.11.05,04:00:00,158.33,159.51,156.6,157.85,6337,158.25841453098843,158.14075132090093,158.23174740484427,25.959761226417584
2008.11.05,08:00:00,157.84,158.74,155.2,155.43,9573,157.12704871859307,157.5383621384785,157.90213006309787,6.517151260505024
2008.11.05,12:00:00,155.47,159.19,155.35,158.32,10875,157.60422923115584,157.71205944103883,157.95129123214517,66.47941063625944
2008.11.05,16:00:00,158.31,160.81,157.46,158.76,12664,158.0665375386935,157.94493512080797,158.04643344012808,71.95663999084739
2008.11.05,20:00:00,158.78,158.79,155.62,155.7,7465,157.11992252321608,157.4460606495173,157.77038244717184,21.986726380998448
2008.11.06,00:00:00,155.71,155.87,154.95,155.34,5268,156.40795351392964,156.9780471718468,157.48445510044576,18.898701699409543
2008.11.06,04:00:00,155.35,155.59,154.15,155.02,5947,155.85277210835778,156.54292557810308,157.1945192062757,15.122736038716306
2008.11.06,08:00:00,155.03,156.9,154.47,155.96,9140,155.89566326501466,156.41338656074686,157.0492816525962,60.954905510010256
2008.11.06,12:00:00,155.97,157.65,154.16,156.2,13644,156.0173979590088,156.36596732502534,156.94936616405545,69.39404800612323
2008.11.06,16:00:00,156.21,157.33,154.2,154.85,14062,155.55043877540527,156.02908569724192,156.70238190946068,20.222324219208694
2008.11.06,20:00:00,154.83,154.89,152.13,152.68,9553,154.40226326524316,155.28484443118816,156.22916050834766,6.169149289830998
2008.11.07,00:00:00,152.69,152.76,150.29,151.13,5835,153.0933579591459,154.36154566870192,155.62925927207147,3.095777563673757
2008.11.07,04:00:00,151.12,153.49,151.09,152.51,6432,152.86001477548754,153.95009107565704,155.26228759300423,48.648833053983665
2008.11.07,08:00:00,152.5,154.09,152.14,153.82,8477,153.24400886529253,153.92118194773326,155.09260669970962,72.8656317372754
2008.11.07,12:00:00,153.8,154.81,152.56,153.66,8806,153.4104053191755,153.86314151490365,154.92406473503792,65.33873716189336
2008.11.07,16:00:00,153.67,156.19,153.31,154.29,10883,153.7622431915053,153.95799895603616,154.84946888385699,80.88681536266391
2008.11.07,20:00:00,154.3,154.99,153.34,154.01,5773,153.86134591490315,153.96955474358367,154.75070783869734,57.82872148674189
2008.11.10,00:00:00,157.01,157.52,155.29,157.32,4738,155.24480754894188,154.7140981338984,155.05297750473292,94.55135848039536
2008.11.10,04:00:00,157.31,157.45,156.13,156.31,4256,155.67088452936514,155.0687429930321,155.2008625041761,61.740844532640075
2008.11.10,08:00:00,156.3,156.82,155.04,155.99,8331,155.7985307176191,155.2734667723583,155.29370220956713,50.61184698251231
2008.11.10,12:00:00,155.98,157.3,155.49,156.24,7803,155.97511843057146,155.48825193405645,155.40503136138275,61.465057409229196
2008.11.10,16:00:00,156.23,156.23,152.46,152.68,11348,154.65707105834286,154.86419594871057,155.0844394365142,8.467924077031935
2008.11.10,20:00:00,152.66,153.62,152.08,152.95,6668,153.9742426350057,154.43881907121934,154.83332891457135,19.054608705530878
